      21      1079.3678       619.1466         0.0000         0.0000         -36488.8003      4011.9975         0.0000         0.0000         0.0000         -30778.2883         0.0000    -30778.2883    -30778.2883         0.0000          -5969.3016     -6014.4442     79507.0000     -5969.3016     -6014.4442
      22      1079.3687       619.1453         0.0000         0.0000         -36488.8028      4011.9937         0.0000         0.0000         0.0000         -30778.2950         0.0000    -30778.2950    -30778.2950         0.0000          -5969.3253     -6014.4625     79507.0000     -5969.3253     -6014.4625
      23      1079.3705       619.1427         0.0000         0.0000         -36488.8078      4011.9862         0.0000         0.0000         0.0000         -30778.3085         0.0000    -30778.3085    -30778.3085         0.0000          -5969.3742     -6014.5005     79507.0000     -5969.3742     -6014.5005
      24      1079.3741       619.1373         0.0000         0.0000         -36488.8179      4011.9710         0.0000         0.0000         0.0000         -30778.3355         0.0000    -30778.3355    -30778.3355         0.0000          -5969.4711     -6014.5757     79507.0000     -5969.4711     -6014.5757
      25      1079.3813       619.1267         0.0000         0.0000         -36488.8383      4011.9408         0.0000         0.0000         0.0000         -30778.3895         0.0000    -30778.3895    -30778.3895         0.0000          -5969.6661     -6014.7272     79507.0000     -5969.6661     -6014.7272
      26      1079.3960       619.1055         0.0000         0.0000         -36488.8791      4011.8803         0.0000         0.0000         0.0000         -30778.4972         0.0000    -30778.4972    -30778.4972         0.0000          -5970.0563     -6015.0298     79507.0000     -5970.0563     -6015.0298
      27      1079.4264       619.0633         0.0000         0.0000         -36488.9610      4011.7598         0.0000         0.0000         0.0000         -30778.7115         0.0000    -30778.7115    -30778.7115         0.0000          -5970.8396     -6015.6360     79507.0000     -5970.8396     -6015.6360
      28      1079.4912       618.9791         0.0000         0.0000         -36489.1247      4011.5202         0.0000         0.0000         0.0000         -30779.1341         0.0000    -30779.1341    -30779.1341         0.0000          -5972.4076     -6016.8421     79507.0000     -5972.4076     -6016.8421
      29      1079.6370       618.8124         0.0000         0.0000         -36489.4528      4011.0470         0.0000         0.0000         0.0000         -30779.9563         0.0000    -30779.9563    -30779.9563         0.0000          -5975.5552     -6019.2336     79507.0000     -5975.5552     -6019.2336
      30      1079.9931       618.4853         0.0000         0.0000         -36490.1077      4010.1238         0.0002         0.0000         0.0000         -30781.5054         0.0000    -30781.5054    -30781.5054         0.0000          -5981.8771     -6023.9174     79507.0000     -5981.8771     -6023.9174
      31      1080.9631       617.8567         0.0000         0.0000         -36491.4194      4008.3665         0.0006         0.0000         0.0000         -30784.2324         0.0000    -30784.2324    -30784.2324         0.0000          -5994.6787     -6032.9362     79507.0000     -5994.6787     -6032.9362
      32      1083.9344       616.7017         0.0000         0.0000         -36494.0577      4005.1836         0.0025         0.0000         0.0000         -30788.2355         0.0000    -30788.2355    -30788.2355         0.0000          -6021.0604     -6049.7272     79507.0000     -6021.0604     -6049.7272
      33      1094.0019       614.7996         0.0000         0.0000         -36499.3681      3999.9741         0.0099         0.0000         0.0000         -30790.5826         0.0000    -30790.5826    -30790.5826         0.0000          -6077.4045     -6078.7876     79507.0000     -6077.4045     -6078.7876
      34      1130.6435       612.6274         0.0000         0.0000         -36510.1029      3993.2170         0.0396         0.0000         0.0000         -30773.5754         0.0000    -30773.5754    -30773.5754         0.0000          -6207.9490     -6122.3569     79507.0000     -6207.9490     -6122.3569
      35      1091.7602       615.1053         0.0000         0.0000         -36498.3988      4000.8183         0.0082         0.0000         0.0000         -30790.7067         0.0000    -30790.7067    -30790.7067         0.0000          -6066.7572     -6073.9103     79507.0000     -6066.7572     -6073.9103
      36      1091.6299       615.1044         0.0000         0.0000         -36498.3951      4000.8204         0.0082         0.0000         0.0000         -30790.8322         0.0000    -30790.8322    -30790.8322         0.0000          -6066.6429     -6073.8999     79507.0000     -6066.6429     -6073.8999
      37      1091.5004       615.1036         0.0000         0.0000         -36498.3914      4000.8225         0.0082         0.0000         0.0000         -30790.9567         0.0000    -30790.9567    -30790.9567         0.0000          -6066.5290     -6073.8893     79507.0000     -6066.5290     -6073.8893
      38      1091.2440       615.1019         0.0000         0.0000         -36498.3842      4000.8268         0.0082         0.0000         0.0000         -30791.2034         0.0000    -30791.2034    -30791.2034         0.0000          -6066.3042     -6073.8693     79507.0000     -6066.3042     -6073.8693
      39      1090.7413       615.0987         0.0000         0.0000         -36498.3703      4000.8357         0.0081         0.0000         0.0000         -30791.6864         0.0000    -30791.6864    -30791.6864         0.0000          -6065.8640     -6073.8318     79507.0000     -6065.8640     -6073.8318
      40      1089.7767       615.0932         0.0000         0.0000         -36498.3420      4000.8547         0.0081         0.0000         0.0000         -30792.6094         0.0000    -30792.6094    -30792.6094         0.0000          -6065.0082     -6073.7539     79507.0000     -6065.0082     -6073.7539
      41      1088.0102       615.0854         0.0000         0.0000         -36498.2800      4000.8976         0.0080         0.0000         0.0000         -30794.2788         0.0000    -30794.2788    -30794.2788         0.0000          -6063.3688     -6073.5590     79507.0000     -6063.3688     -6073.5590
